seccion_cod,servicio_cod,dir3_cod,denominacion,dir3_padre_cod,ministerio_dir3_cod,ministerio_denominacion,nivel_jerarquico,nivel_organico,nivel_organico_senal,tipo_entidad,estado,fecha_inicio,fecha_fin
,,E04804301,Delegacion de Defensa en la Ciudad de Melilla,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-01-31,
,,E04847601,Arzobispado Castrense,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-07-11,
,,E04856901,Agregaduria de Defensa en la Embajada de España en Australia - Canberra,E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-07-29,
,,E04863701,Agregaduria de Defensa en la Embajada de España en la Republica de Filipinas (MANILA),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-03-29,
,,E04867001,Jefatura de los Sistemas de Información Tel. As. Tec.,E00117001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2008-11-21,
,,E04884701,Agragaduria de Defensa en la Embajada de España en la Republica de la India (NUEVA DELHI),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2010-04-07,
,,E04884901,Dirección de Asuntos Económicos,E00117001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2010-04-01,
,,E04885501,Elemento Nacional del Centro de Excelencia contra Artefactos Explosivos Improvisados,E00115801,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2010-04-16,
,,E04905001,"Instituto de Vivienda, Infraestructura y Equipamiento de la Defensa",E00116001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,OA,V,2010-10-24,
,,E04906002,Centro de Sistemas y Tecnologias de la Informacion y las Comunicaciones,E00116001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2014-12-09,
,,E04941201,Representación Militar ante el Mando Supremo Aliado en Europa,E00115801,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2012-01-01,
,,E04947002,Observatorio Militar para la Igualdad entre Mujeres y Hombres en las Fuerzas Armadas,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2014-12-09,
,,E04947801,Division de Coordinacion y Estudios de Seguridad y Defensa,E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2012-03-07,
,,E04949201,Estado Mayor del Aire y del Espacio,E00117201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2012-06-01,
,,E04968101,Agregaduria de Defensa Embajada de España en la Republica del Peru (LIMA),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2013-10-13,
,,E04968302,Mando Conjunto de Ciberespacio,E00115801,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2015-12-01,
,,E04978602,Centro de Inteligencia de las Fuerzas Armadas,E00115801,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2015-12-01,
,,EA0002972,Area Economico Administrativa de la Subdireccion General de Gestion Economica,E00116001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002973,Sae del Cuarto Militar de la Casa de S.M. el Rey y Guardia Real,EA0047487,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002974,Subdirección General de Adquisiciones de Armamento y Material,E00116001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002978,Órgano de Dirección Económico Financiero de la Dirección General de Infraestructura,E00116001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002979,Sae de la Unidad Militar de Emergencias,E04720503,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002980,Jae del Estado Mayor de la Defensa,E00115801,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002981,Sae del Centro Superior de Estudios de la Defensa Nacional,E00115801,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002984,Intendencia de Madrid,E00117101,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002985,Intendencia de Ferrol,E00117101,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002986,Intendencia de Cartagena,E00117101,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002987,Intendencia de Rota,E00117101,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002988,Intendencia de San Fernando,E00117101,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002989,Dirección de Gestión Económica de la Jal,E00117101,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002990,Seccion Economica de la Jefatura de Personal,E00117101,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002991,Seccion de Coordinacion Economica de la Dae,E00117101,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002994,Area de Servicios Economicos de la Sub. Gral. de Serv. Economicos y Pag.,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002995,Seccion Economica del Gabinete del Ministro de Defensa,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002997,Sae de la Jae de la Inspeccion General de Sanidad,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002998,"Sea del Hospital Central de la Defensa ""GOMEZ ULLA""",E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0002999,Sea del Hospital Central de la Defensa en Zaragoza,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003001,Sea del Centro Militar de Farmacia de la Defensa,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003004,Sea 62 Base Aerea de Cuatro Vientos,E00117201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003005,Departamento Economico Mde,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003006,Servicios Generales de Infraestructura,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003007,Grupo de Apoyo a las Comunicaciones,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003008,Sea 45 Aeródromo Militar de Leon,E00117201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003009,Area de Formacion Mde,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003010,Gabinete de Analisis Patrimonial,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003011,Unidad de Compras del Mde,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003012,Oficina Central de Servicios,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003013,Gestion y Administracion de Recursos Materiales,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003014,Sea 12 Acar Tablada,E00117201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003015,Area de Servicios Integrales,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003016,Sea 27 Base Aerea de Getafe,E00117201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003017,Oficina Tecnica de Documentacion Mde,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
