ejercicio,seccion_cod,servicio_cod,servicio_denominacion,dir3_cod,dir3_denominacion,match_tipo,match_detalle
2026,12,03,SECRETARÍA DE ESTADO DE COOPERACIÓN INTERNACIONAL,E05076401,Secretaría de Estado de Cooperación Internacional,exacto,denominacion_normalizada
2026,12,04,SECRETARÍA DE ESTADO DE ASUNTOS EXTERIORES Y GLOBALES,E05191001,Secretaría de Estado de Asuntos Exteriores y Globales,exacto,denominacion_normalizada
2026,12,05,SECRETARÍA DE ESTADO PARA IBEROAMERICA Y EL CARIBE Y EL ESPAÑOL EN EL MUNDO,E05190701,Secretaría de Estado para Iberoamérica y el Caribe y el Español en el Mundo,exacto,denominacion_normalizada
2026,13,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05228601,"Ministerio de la Presidencia, Justicia y Relaciones con las Cortes",por_denominacion,regla_servicios_generales
2026,13,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05238401,"Subsecretaría de la Presidencia, Justicia y Relaciones con las Cortes",por_denominacion,regla_servicios_generales
2026,13,02,SECRETARÍA DE ESTADO DE JUSTICIA,E05228901,Secretaría de Estado de Justicia,exacto,denominacion_normalizada
2026,13,03,DIRECCIÓN GENERAL DE SEGURIDAD JURÍDICA Y FE PÚBLICA,E00131304,Dirección General de Seguridad Jurídica y Fe Pública,exacto,denominacion_normalizada
2026,13,04,ABOGACÍA GENERAL DEL ESTADO,E00130903,Abogacía General del Estado,exacto,denominacion_normalizada
2026,13,05,SECRETARÍA GENERAL PARA LA INNOVACIÓN Y CALIDAD DEL SERVICIO PÚBLICO DE JUSTICIA. FISCALÍA GENERAL,,,sin_match,sin_candidato_en_subarbol
2026,13,06,SECRETARÍA GENERAL PARA LA INNOVACIÓN Y CALIDAD DEL SERVICIO PÚBLICO DE JUSTICIA. MINISTERIO FISCAL,,,sin_match,sin_candidato_en_subarbol
